pattern_id,sport,market_type,source_combo,current_tier_if_known,n,wins,losses,pushes,win_rate,wilson_lower,units,roi,confidence_bucket,audit_flag,proposed_policy,proposed_reason,manual_decision,manual_note
NBA|bettingpros_5star|bettingpros_experts|oddstrader|total,NBA,total,bettingpros_5star|bettingpros_experts|oddstrader,,8,4,4,0,0.5,0.2152,-1.83,-0.2609,insufficient_sample,low_sample,needs_more_sample,n=8 < 25,,
NBA|betql|dimers|oddstrader|spread,NBA,spread,betql|dimers|oddstrader,,7,5,2,0,0.7143,0.3589,1.19,0.199,insufficient_sample,low_sample,needs_more_sample,n=7 < 25,,
NBA|oddstrader|sportsline|moneyline,NBA,moneyline,oddstrader|sportsline,,7,4,3,0,0.5714,0.2505,-1.34,-0.2672,insufficient_sample,low_sample,needs_more_sample,n=7 < 25,,
NBA|betql|covers|spread,NBA,spread,betql|covers,,7,3,4,0,0.4286,0.1582,-1.41,-0.235,insufficient_sample,low_sample,needs_more_sample,n=7 < 25,,
NBA|vegasinsider|moneyline,NBA,moneyline,vegasinsider,,7,4,3,0,0.5714,0.2505,1.98,0.283,insufficient_sample,low_sample,needs_more_sample,n=7 < 25,,
NBA|action|covers|dimers|vegasinsider|spread,NBA,spread,action|covers|dimers|vegasinsider,,7,3,4,0,0.4286,0.1582,-2.04,-0.3408,insufficient_sample,low_sample,needs_more_sample,n=7 < 25,,
NBA|betql|sportsline|total,NBA,total,betql|sportsline,,7,2,5,0,0.2857,0.0822,-5.07,-1.014,insufficient_sample,low_sample,needs_more_sample,n=7 < 25,,
NBA|covers|vegasinsider|player_prop,NBA,player_prop,covers|vegasinsider,,6,4,2,0,0.6667,0.3,2.39,0.398,insufficient_sample,low_sample,needs_more_sample,n=6 < 25,,
NBA|action|juicereel_sxebets|moneyline,NBA,moneyline,action|juicereel_sxebets,,6,5,1,0,0.8333,0.4365,-1.0,-1.0,insufficient_sample,low_sample,needs_more_sample,n=6 < 25,,
NBA|juicereel_nukethebooks|oddstrader|player_prop,NBA,player_prop,juicereel_nukethebooks|oddstrader,,6,2,4,0,0.3333,0.0968,-2.56,-0.5118,insufficient_sample,low_sample,needs_more_sample,n=6 < 25,,
NBA|action|bettingpros_experts|sportsline|total,NBA,total,action|bettingpros_experts|sportsline,,6,2,4,0,0.3333,0.0968,-2.81,-0.563,insufficient_sample,low_sample,needs_more_sample,n=6 < 25,,
NBA|action|bettingpros_experts|covers|spread,NBA,spread,action|bettingpros_experts|covers,,6,4,2,0,0.6667,0.3,-0.19,-0.0475,insufficient_sample,low_sample,needs_more_sample,n=6 < 25,,
NBA|betql|sportsline|player_prop,NBA,player_prop,betql|sportsline,,6,4,2,0,0.6667,0.3,1.78,0.296,insufficient_sample,low_sample,needs_more_sample,n=6 < 25,,
NBA|bettingpros_experts|dimers|spread,NBA,spread,bettingpros_experts|dimers,,6,2,4,0,0.3333,0.0968,-2.02,-0.337,insufficient_sample,low_sample,needs_more_sample,n=6 < 25,,
NBA|action|bettingpros_experts|sportsline|vegasinsider|spread,NBA,spread,action|bettingpros_experts|sportsline|vegasinsider,,6,0,6,0,0.0,0.0,-6.29,-1.0483,insufficient_sample,low_sample,needs_more_sample,n=6 < 25,,
NBA|oddstrader|sportsline|player_prop,NBA,player_prop,oddstrader|sportsline,,6,5,1,0,0.8333,0.4365,3.33,0.5552,insufficient_sample,low_sample,needs_more_sample,n=6 < 25,,
NBA|bettingpros_experts|vegasinsider|spread,NBA,spread,bettingpros_experts|vegasinsider,,6,4,2,0,0.6667,0.3,1.3,0.2175,insufficient_sample,low_sample,needs_more_sample,n=6 < 25,,
NBA|dimers|vegasinsider|moneyline,NBA,moneyline,dimers|vegasinsider,,6,3,3,0,0.5,0.1876,-1.91,-0.383,insufficient_sample,low_sample,needs_more_sample,n=6 < 25,,
NBA|action|bettingpros_experts|covers|vegasinsider|spread,NBA,spread,action|bettingpros_experts|covers|vegasinsider,,6,4,2,0,0.6667,0.3,0.88,0.1764,insufficient_sample,low_sample,needs_more_sample,n=6 < 25,,
NBA|action|bettingpros_experts|covers|dimers|oddstrader|spread,NBA,spread,action|bettingpros_experts|covers|dimers|oddstrader,,6,2,4,0,0.3333,0.0968,-3.03,-0.6066,insufficient_sample,low_sample,needs_more_sample,n=6 < 25,,
NBA|action|covers|dimers|spread,NBA,spread,action|covers|dimers,,6,3,3,0,0.5,0.1876,-1.95,-0.4878,insufficient_sample,low_sample,needs_more_sample,n=6 < 25,,
NBA|bettingpros_5star|dimers|moneyline,NBA,moneyline,bettingpros_5star|dimers,,6,0,6,0,0.0,0.0,-3.0,-0.5,insufficient_sample,low_sample,needs_more_sample,n=6 < 25,,
NBA|action|juicereel_nukethebooks|spread,NBA,spread,action|juicereel_nukethebooks,,6,4,2,0,0.6667,0.3,-1.04,-0.3483,insufficient_sample,low_sample,needs_more_sample,n=6 < 25,,
NBA|action|betql|covers|player_prop,NBA,player_prop,action|betql|covers,,5,0,5,0,0.0,-0.0,-5.05,-1.01,insufficient_sample,low_sample,needs_more_sample,n=5 < 25,,
NBA|action|sportsline|vegasinsider|total,NBA,total,action|sportsline|vegasinsider,,5,3,2,0,0.6,0.2307,-2.0,-1.0,insufficient_sample,low_sample,needs_more_sample,n=5 < 25,,
NBA|betql|covers|juicereel_nukethebooks|player_prop,NBA,player_prop,betql|covers|juicereel_nukethebooks,,5,3,2,0,0.6,0.2307,0.76,0.152,insufficient_sample,low_sample,needs_more_sample,n=5 < 25,,
NBA|action|covers|sportsline|vegasinsider|spread,NBA,spread,action|covers|sportsline|vegasinsider,,5,2,3,0,0.4,0.1176,-2.12,-0.53,insufficient_sample,low_sample,needs_more_sample,n=5 < 25,,
NBA|action|betql|juicereel_nukethebooks|player_prop,NBA,player_prop,action|betql|juicereel_nukethebooks,,5,3,2,0,0.6,0.2307,-0.98,-0.328,insufficient_sample,low_sample,needs_more_sample,n=5 < 25,,
NBA|covers|juicereel_nukethebooks|player_prop,NBA,player_prop,covers|juicereel_nukethebooks,,5,5,0,0,1.0,0.5655,2.98,0.7443,insufficient_sample,low_sample,needs_more_sample,n=5 < 25,,
NBA|action|covers|oddstrader|player_prop,NBA,player_prop,action|covers|oddstrader,,5,2,3,0,0.4,0.1176,-2.3,-0.5745,insufficient_sample,low_sample,needs_more_sample,n=5 < 25,,
NBA|bettingpros_5star|bettingpros_experts|total,NBA,total,bettingpros_5star|bettingpros_experts,,5,2,3,0,0.4,0.1176,-1.49,-0.2978,insufficient_sample,low_sample,needs_more_sample,n=5 < 25,,
NBA|bettingpros_experts|covers|player_prop,NBA,player_prop,bettingpros_experts|covers,,6,1,4,1,0.2,0.0362,-3.19,-0.5308,insufficient_sample,low_sample,needs_more_sample,n=5 < 25,,
NBA|betql|oddstrader|total,NBA,total,betql|oddstrader,,5,4,1,0,0.8,0.3755,-1.0,-1.0,insufficient_sample,low_sample,needs_more_sample,n=5 < 25,,
NBA|bettingpros_experts|sportsline|moneyline,NBA,moneyline,bettingpros_experts|sportsline,,5,5,0,0,1.0,0.5655,3.95,0.7898,insufficient_sample,low_sample,needs_more_sample,n=5 < 25,,
MLB|bettingpros_props|player_prop,MLB,player_prop,bettingpros_props,,5,4,1,0,0.8,0.3755,2.52,0.5046,insufficient_sample,mlb_immature,watchlist_only,MLB patterns not yet mature,,
NBA|action|juicereel_nukethebooks|juicereel_sxebets|player_prop,NBA,player_prop,action|juicereel_nukethebooks|juicereel_sxebets,,5,0,4,1,0.0,0.0,-4.01,-0.802,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|betql|oddstrader|total,NBA,total,action|betql|oddstrader,,4,2,2,0,0.5,0.15,-2.0,-1.0,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|covers|sportsline|spread,NBA,spread,action|covers|sportsline,,4,2,2,0,0.5,0.15,-2.05,-1.025,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|covers|dimers|vegasinsider|moneyline,NBA,moneyline,covers|dimers|vegasinsider,,4,2,2,0,0.5,0.15,-0.26,-0.0648,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|dimers|vegasinsider|moneyline,NBA,moneyline,action|dimers|vegasinsider,,4,0,4,0,0.0,0.0,-4.19,-1.0475,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|bettingpros_experts|oddstrader|moneyline,NBA,moneyline,action|bettingpros_experts|oddstrader,,4,4,0,0,1.0,0.5101,1.68,0.84,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|betql|dimers|sportsline|vegasinsider|spread,NBA,spread,action|betql|dimers|sportsline|vegasinsider,,4,0,4,0,0.0,0.0,-4.12,-1.03,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|betql|vegasinsider|total,NBA,total,betql|vegasinsider,,4,3,1,0,0.75,0.3006,-1.0,-1.0,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|bettingpros_experts|dimers|total,NBA,total,action|bettingpros_experts|dimers,,4,2,2,0,0.5,0.15,-1.0,-0.3343,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|betql|dimers|oddstrader|total,NBA,total,betql|dimers|oddstrader,,4,2,2,0,0.5,0.15,-2.0,-1.0,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|juicereel_sxebets|moneyline,NBA,moneyline,juicereel_sxebets,,4,0,4,0,0.0,0.0,-4.1,-1.025,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|betql|covers|dimers|spread,NBA,spread,betql|covers|dimers,,4,0,4,0,0.0,0.0,-4.06,-1.015,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|bettingpros_experts|covers|spread,NBA,spread,bettingpros_experts|covers,,4,2,2,0,0.5,0.15,-0.22,-0.056,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|bettingpros|bettingpros_experts|oddstrader|moneyline,NBA,moneyline,bettingpros|bettingpros_experts|oddstrader,,4,1,3,0,0.25,0.0456,-2.17,-0.5425,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|bettingpros|bettingpros_experts|oddstrader|spread,NBA,spread,bettingpros|bettingpros_experts|oddstrader,,4,2,2,0,0.5,0.15,0.5,0.126,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|bettingpros|bettingpros_experts|total,NBA,total,action|bettingpros|bettingpros_experts,,4,0,4,0,0.0,0.0,-4.0,-1.0,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|dimers|juicereel_nukethebooks|player_prop,NBA,player_prop,dimers|juicereel_nukethebooks,,4,2,2,0,0.5,0.15,-0.3,-0.0745,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|bettingpros_5star|bettingpros_experts|dimers|oddstrader|moneyline,NBA,moneyline,bettingpros_5star|bettingpros_experts|dimers|oddstrader,,4,0,4,0,0.0,0.0,-2.21,-0.5525,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|bettingpros_5star|oddstrader|moneyline,NBA,moneyline,bettingpros_5star|oddstrader,,4,1,3,0,0.25,0.0456,-3.0,-1.0,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|bettingpros_5star|bettingpros_experts|dimers|moneyline,NBA,moneyline,bettingpros_5star|bettingpros_experts|dimers,,4,0,4,0,0.0,0.0,-1.0,-0.25,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|betql|bettingpros_experts|oddstrader|spread,NBA,spread,action|betql|bettingpros_experts|oddstrader,,4,4,0,0,1.0,0.5101,2.02,1.008,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|betql|vegasinsider|total,NBA,total,action|betql|vegasinsider,,4,2,2,0,0.5,0.15,-2.0,-1.0,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|betql|bettingpros_experts|oddstrader|player_prop,NBA,player_prop,betql|bettingpros_experts|oddstrader,,4,2,2,0,0.5,0.15,-1.04,-0.3467,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|oddstrader|sportsline|vegasinsider|spread,NBA,spread,oddstrader|sportsline|vegasinsider,,4,4,0,0,1.0,0.5101,1.89,0.9465,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|bettingpros_experts|vegasinsider|moneyline,NBA,moneyline,bettingpros_experts|vegasinsider,,4,2,2,0,0.5,0.15,0.5,0.126,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|bettingpros_experts|oddstrader|sportsline|spread,NBA,spread,action|bettingpros_experts|oddstrader|sportsline,,4,0,4,0,0.0,0.0,-4.07,-1.0175,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|bettingpros_experts|dimers|oddstrader|sportsline|vegasinsider|spread,NBA,spread,action|bettingpros_experts|dimers|oddstrader|sportsline|vegasinsider,,4,4,0,0,1.0,0.5101,2.99,0.998,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|bettingpros_experts|dimers|vegasinsider|moneyline,NBA,moneyline,action|bettingpros_experts|dimers|vegasinsider,,4,0,4,0,0.0,0.0,-4.27,-1.0675,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|bettingpros_experts|dimers|oddstrader|vegasinsider|spread,NBA,spread,action|bettingpros_experts|dimers|oddstrader|vegasinsider,,4,0,4,0,0.0,0.0,-4.15,-1.0375,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|dimers|juicereel_unitvacuum|vegasinsider|spread,NBA,spread,action|dimers|juicereel_unitvacuum|vegasinsider,,4,4,0,0,1.0,0.5101,2.04,1.0195,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|bettingpros_experts|dimers|vegasinsider|spread,NBA,spread,action|bettingpros_experts|dimers|vegasinsider,,4,0,4,0,0.0,0.0,-4.09,-1.0225,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|covers|dimers|juicereel_unitvacuum|vegasinsider|spread,NBA,spread,action|covers|dimers|juicereel_unitvacuum|vegasinsider,,4,4,0,0,1.0,0.5101,2.97,0.9907,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|betql|dimers|juicereel_unitvacuum|oddstrader|sportsline|vegasinsider|spread,NBA,spread,action|betql|dimers|juicereel_unitvacuum|oddstrader|sportsline|vegasinsider,,4,0,4,0,0.0,0.0,-4.04,-1.01,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|covers|dimers|sportsline|player_prop,NBA,player_prop,covers|dimers|sportsline,,4,0,4,0,0.0,0.0,-3.87,-0.9675,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|bettingpros_experts|dimers|juicereel_unitvacuum|sportsline|vegasinsider|spread,NBA,spread,action|bettingpros_experts|dimers|juicereel_unitvacuum|sportsline|vegasinsider,,4,0,4,0,0.0,0.0,-4.43,-1.1075,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|action|juicereel_unitvacuum|spread,NBA,spread,action|juicereel_unitvacuum,,4,2,2,0,0.5,0.15,-2.02,-1.01,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
NBA|bettingpros_experts|team_total,NBA,team_total,bettingpros_experts,,4,3,1,0,0.75,0.3006,2.16,0.539,insufficient_sample,low_sample,needs_more_sample,n=4 < 25,,
MLB|action|covers|moneyline,MLB,moneyline,action|covers,,4,0,4,0,0.0,0.0,-4.43,-1.1075,insufficient_sample,mlb_immature,watchlist_only,MLB patterns not yet mature,,
MLB|action|covers|total,MLB,total,action|covers,,4,4,0,0,1.0,0.5101,2.87,0.9557,insufficient_sample,mlb_immature,watchlist_only,MLB patterns not yet mature,,
NBA|sportscapping|spread,NBA,spread,sportscapping,,3,1,2,0,0.3333,0.0615,-1.1,-0.368,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|betql|oddstrader|spread,NBA,spread,action|betql|oddstrader,,3,3,0,0,1.0,0.4385,0.95,0.946,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|betql|dimers|oddstrader|spread,NBA,spread,action|betql|dimers|oddstrader,,3,0,3,0,0.0,0.0,-3.17,-1.0567,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|betql|oddstrader|sportsline|spread,NBA,spread,action|betql|oddstrader|sportsline,,3,0,3,0,0.0,0.0,-3.04,-1.0133,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|covers|dimers|moneyline,NBA,moneyline,covers|dimers,,3,2,1,0,0.6667,0.2077,0.51,0.1687,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|dimers|sportsline|vegasinsider|spread,NBA,spread,action|dimers|sportsline|vegasinsider,,3,0,3,0,0.0,0.0,-3.12,-1.04,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|juicereel_nukethebooks|juicereel_sxebets|moneyline,NBA,moneyline,juicereel_nukethebooks|juicereel_sxebets,,3,2,1,0,0.6667,0.2077,1.67,0.5563,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|covers|dimers|total,NBA,total,covers|dimers,,3,3,0,0,1.0,0.4385,0.97,0.971,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|dimers|juicereel_sxebets|player_prop,NBA,player_prop,dimers|juicereel_sxebets,,3,0,3,0,0.0,0.0,-3.0,-1.0,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|covers|moneyline,NBA,moneyline,action|covers,,3,1,2,0,0.3333,0.0615,-1.29,-0.4313,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|bettingpros|bettingpros_experts|total,NBA,total,bettingpros|bettingpros_experts,,3,2,1,0,0.6667,0.2077,0.79,0.265,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|dimers|oddstrader|sportsline|spread,NBA,spread,action|dimers|oddstrader|sportsline,,3,0,3,0,0.0,0.0,-3.1,-1.0333,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|bettingpros_5star|total,NBA,total,bettingpros_5star,,3,1,2,0,0.3333,0.0615,-1.1,-0.3683,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|bettingpros_5star|bettingpros_experts|moneyline,NBA,moneyline,bettingpros_5star|bettingpros_experts,,3,2,1,0,0.6667,0.2077,2.11,0.7043,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|bettingpros_experts|dimers|sportsline|spread,NBA,spread,action|bettingpros_experts|dimers|sportsline,,3,3,0,0,1.0,0.4385,1.54,0.7675,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|betql|bettingpros_experts|dimers|oddstrader|spread,NBA,spread,betql|bettingpros_experts|dimers|oddstrader,,4,0,3,1,0.0,0.0,-2.91,-0.7275,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|bettingpros_experts|covers|vegasinsider|moneyline,NBA,moneyline,action|bettingpros_experts|covers|vegasinsider,,3,0,3,0,0.0,0.0,-2.76,-0.92,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|covers|vegasinsider|moneyline,NBA,moneyline,action|covers|vegasinsider,,3,3,0,0,1.0,0.4385,2.17,1.0835,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|bettingpros_experts|dimers|vegasinsider|spread,NBA,spread,bettingpros_experts|dimers|vegasinsider,,3,0,3,0,0.0,0.0,-3.11,-1.0367,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|bettingpros_experts|covers|dimers|oddstrader|vegasinsider|spread,NBA,spread,bettingpros_experts|covers|dimers|oddstrader|vegasinsider,,3,2,1,0,0.6667,0.2077,0.92,0.3053,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|betql|bettingpros_experts|player_prop,NBA,player_prop,betql|bettingpros_experts,,3,2,1,0,0.6667,0.2077,-0.04,-0.0185,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|dimers|sportsline|vegasinsider|moneyline,NBA,moneyline,action|dimers|sportsline|vegasinsider,,3,0,3,0,0.0,0.0,-3.26,-1.0867,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|covers|juicereel_nukethebooks|sportsline|vegasinsider|spread,NBA,spread,action|covers|juicereel_nukethebooks|sportsline|vegasinsider,,3,0,3,0,0.0,0.0,-3.04,-1.0133,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|dimers|oddstrader|vegasinsider|moneyline,NBA,moneyline,action|dimers|oddstrader|vegasinsider,,3,3,0,0,1.0,0.4385,1.74,0.869,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|betql|bettingpros_experts|dimers|oddstrader|vegasinsider|spread,NBA,spread,betql|bettingpros_experts|dimers|oddstrader|vegasinsider,,3,3,0,0,1.0,0.4385,2.19,0.7303,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|betql|bettingpros_experts|dimers|oddstrader|spread,NBA,spread,action|betql|bettingpros_experts|dimers|oddstrader,,3,2,1,0,0.6667,0.2077,-0.19,-0.094,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|bettingpros_experts|dimers|total,NBA,total,bettingpros_experts|dimers,,3,1,2,0,0.3333,0.0615,-1.39,-0.4643,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|bettingpros_experts|covers|dimers|spread,NBA,spread,action|bettingpros_experts|covers|dimers,,3,3,0,0,1.0,0.4385,1.17,0.586,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|bettingpros_experts|covers|dimers|vegasinsider|moneyline,NBA,moneyline,bettingpros_experts|covers|dimers|vegasinsider,,3,0,3,0,0.0,0.0,-3.42,-1.14,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|betql|bettingpros_experts|juicereel_unitvacuum|oddstrader|vegasinsider|spread,NBA,spread,action|betql|bettingpros_experts|juicereel_unitvacuum|oddstrader|vegasinsider,,3,3,0,0,1.0,0.4385,2.0,1.0,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|bettingpros_experts|covers|total,NBA,total,bettingpros_experts|covers,,3,1,2,0,0.3333,0.0615,-1.17,-0.3903,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|betql|dimers|vegasinsider|total,NBA,total,betql|dimers|vegasinsider,,3,2,1,0,0.6667,0.2077,-1.0,-1.0,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|bettingpros_5star|bettingpros_experts|total,NBA,total,action|bettingpros_5star|bettingpros_experts,,3,0,3,0,0.0,0.0,-3.1,-1.0333,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|betql|bettingpros_experts|dimers|spread,NBA,spread,action|betql|bettingpros_experts|dimers,,3,0,3,0,0.0,0.0,-2.92,-0.9733,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|bettingpros_experts|oddstrader|vegasinsider|moneyline,NBA,moneyline,action|bettingpros_experts|oddstrader|vegasinsider,,3,0,3,0,0.0,0.0,-3.07,-1.0233,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|dimers|juicereel_unitvacuum|oddstrader|vegasinsider|spread,NBA,spread,dimers|juicereel_unitvacuum|oddstrader|vegasinsider,,3,0,3,0,0.0,0.0,-3.03,-1.01,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|betql|bettingpros_experts|dimers|juicereel_unitvacuum|spread,NBA,spread,action|betql|bettingpros_experts|dimers|juicereel_unitvacuum,,3,0,3,0,0.0,0.0,-3.06,-1.02,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|bettingpros_experts|covers|dimers|vegasinsider|spread,NBA,spread,bettingpros_experts|covers|dimers|vegasinsider,,3,0,3,0,0.0,0.0,-3.01,-1.0033,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|dimers|oddstrader|vegasinsider|moneyline,NBA,moneyline,dimers|oddstrader|vegasinsider,,3,0,3,0,0.0,0.0,-3.14,-1.0467,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|dimers|oddstrader|total,NBA,total,action|dimers|oddstrader,,3,3,0,0,1.0,0.4385,0.95,0.955,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|bettingpros_experts|dimers|sportsline|moneyline,NBA,moneyline,bettingpros_experts|dimers|sportsline,,3,0,3,0,0.0,0.0,-3.54,-1.18,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|betql|sportsline|spread,NBA,spread,betql|sportsline,,3,0,3,0,0.0,0.0,-2.25,-0.75,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|betql|bettingpros_experts|spread,NBA,spread,betql|bettingpros_experts,,3,3,0,0,1.0,0.4385,1.53,0.763,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|dimers|sportsline|vegasinsider|moneyline,NBA,moneyline,dimers|sportsline|vegasinsider,,3,0,3,0,0.0,0.0,-3.4,-1.1333,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|betql|bettingpros_props|player_prop,NBA,player_prop,betql|bettingpros_props,,4,1,2,1,0.3333,0.0615,-1.12,-0.279,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
NBA|action|dimers|vegasinsider|player_prop,NBA,player_prop,action|dimers|vegasinsider,,3,3,0,0,1.0,0.4385,2.68,0.8943,insufficient_sample,low_sample,needs_more_sample,n=3 < 25,,
MLB|covers|moneyline,MLB,moneyline,covers,,3,1,2,0,0.3333,0.0615,-1.35,-0.4493,insufficient_sample,mlb_immature,watchlist_only,MLB patterns not yet mature,,
MLB|covers|total,MLB,total,covers,,3,1,2,0,0.3333,0.0615,-1.03,-0.343,insufficient_sample,mlb_immature,watchlist_only,MLB patterns not yet mature,,
MLB|oddstrader|total,MLB,total,oddstrader,,3,1,2,0,0.3333,0.0615,-2.08,-1.04,insufficient_sample,mlb_immature,watchlist_only,MLB patterns not yet mature,,
NBA|sportscapping|total,NBA,total,sportscapping,,2,2,0,0,1.0,0.3424,0.93,0.93,insufficient_sample,low_sample,needs_more_sample,n=2 < 25,,
NBA|action|betql|bettingpros_experts|dimers|total,NBA,total,action|betql|bettingpros_experts|dimers,,2,2,0,0,1.0,0.3424,0.95,0.955,insufficient_sample,low_sample,needs_more_sample,n=2 < 25,,
NBA|action|betql|covers|dimers|total,NBA,total,action|betql|covers|dimers,,2,0,2,0,0.0,0.0,-2.1,-1.05,insufficient_sample,low_sample,needs_more_sample,n=2 < 25,,
NBA|betql|juicereel_nukethebooks|juicereel_sxebets|player_prop,NBA,player_prop,betql|juicereel_nukethebooks|juicereel_sxebets,,2,0,2,0,0.0,0.0,-2.15,-1.075,insufficient_sample,low_sample,needs_more_sample,n=2 < 25,,
NBA|action|covers|sportsline|vegasinsider|total,NBA,total,action|covers|sportsline|vegasinsider,,2,2,0,0,1.0,0.3424,0.95,0.955,insufficient_sample,low_sample,needs_more_sample,n=2 < 25,,
NBA|covers|juicereel_sxebets|sportsline|player_prop,NBA,player_prop,covers|juicereel_sxebets|sportsline,,2,0,2,0,0.0,0.0,-3.0,-1.5,insufficient_sample,low_sample,needs_more_sample,n=2 < 25,,
NBA|action|covers|dimers|total,NBA,total,action|covers|dimers,,2,0,2,0,0.0,0.0,-2.05,-1.025,insufficient_sample,low_sample,needs_more_sample,n=2 < 25,,
