sport,source_combo,source,market_type,n,wins,losses,pushes,win_rate,units,roi,avg_odds,confidence_bucket
NBA,action|bettingpros_props,action,player_prop,23,14,9,0,0.6087,4.23,0.1841,-72.4,low
NBA,action|bettingpros_props,action|bettingpros_props,player_prop,23,14,9,0,0.6087,4.23,0.1841,-72.4,low
NBA,action|bettingpros_props,bettingpros_props,player_prop,23,14,9,0,0.6087,4.23,0.1841,-72.4,low
NBA,action|bettingpros_props|sportsline,action,player_prop,1,0,1,0,0.0,-0.86,-0.86,133.0,very_low
NBA,action|bettingpros_props|sportsline,action|bettingpros_props|sportsline,player_prop,1,0,1,0,0.0,-0.86,-0.86,133.0,very_low
NBA,action|bettingpros_props|sportsline,bettingpros_props,player_prop,1,0,1,0,0.0,-0.86,-0.86,133.0,very_low
NBA,action|bettingpros_props|sportsline,sportsline,player_prop,1,0,1,0,0.0,-0.86,-0.86,133.0,very_low
NBA,action|covers,action,moneyline,1,1,0,0,1.0,0.6,0.596,-235.0,very_low
NBA,action|covers,action,player_prop,4,3,1,0,0.75,1.72,0.4295,-66.0,very_low
NBA,action|covers,action,spread,1,0,1,0,0.0,-1.04,-1.04,-108.0,very_low
NBA,action|covers,action|covers,moneyline,1,1,0,0,1.0,0.6,0.596,-235.0,very_low
NBA,action|covers,action|covers,player_prop,4,3,1,0,0.75,1.72,0.4295,-66.0,very_low
NBA,action|covers,action|covers,spread,1,0,1,0,0.0,-1.04,-1.04,-108.0,very_low
NBA,action|covers,covers,moneyline,1,1,0,0,1.0,0.6,0.596,-235.0,very_low
NBA,action|covers,covers,player_prop,4,3,1,0,0.75,1.72,0.4295,-66.0,very_low
NBA,action|covers,covers,spread,1,0,1,0,0.0,-1.04,-1.04,-108.0,very_low
NBA,action|covers|sportsline,action,player_prop,1,1,0,0,1.0,1.13,1.126,128.0,very_low
NBA,action|covers|sportsline,action|covers|sportsline,player_prop,1,1,0,0,1.0,1.13,1.126,128.0,very_low
NBA,action|covers|sportsline,covers,player_prop,1,1,0,0,1.0,1.13,1.126,128.0,very_low
NBA,action|covers|sportsline,sportsline,player_prop,1,1,0,0,1.0,1.13,1.126,128.0,very_low
NBA,action|covers|vegasinsider,action,spread,3,1,2,0,0.3333,-1.15,-0.3837,-111.0,very_low
NBA,action|covers|vegasinsider,action|covers|vegasinsider,spread,3,1,2,0,0.3333,-1.15,-0.3837,-111.0,very_low
NBA,action|covers|vegasinsider,covers,spread,3,1,2,0,0.3333,-1.15,-0.3837,-111.0,very_low
NBA,action|covers|vegasinsider,vegasinsider,spread,3,1,2,0,0.3333,-1.15,-0.3837,-111.0,very_low
NBA,action|dimers|vegasinsider,action,player_prop,3,3,0,0,1.0,2.68,0.8943,-59.3,very_low
NBA,action|dimers|vegasinsider,action|dimers|vegasinsider,player_prop,3,3,0,0,1.0,2.68,0.8943,-59.3,very_low
NBA,action|dimers|vegasinsider,dimers,player_prop,3,3,0,0,1.0,2.68,0.8943,-59.3,very_low
NBA,action|dimers|vegasinsider,vegasinsider,player_prop,3,3,0,0,1.0,2.68,0.8943,-59.3,very_low
NBA,action|oddstrader,action,player_prop,3,0,3,0,0.0,-3.12,-1.04,-42.3,very_low
NBA,action|oddstrader,action,spread,1,1,0,0,1.0,0.95,0.955,-110.0,very_low
NBA,action|oddstrader,action|oddstrader,player_prop,3,0,3,0,0.0,-3.12,-1.04,-42.3,very_low
NBA,action|oddstrader,action|oddstrader,spread,1,1,0,0,1.0,0.95,0.955,-110.0,very_low
