sport,date,player_name,player_key,team,opponent,stat_type,selection,line,odds,source,eligible_for_consensus,event_key,matchup_key
NBA,2026-04-25,Jerami Grant,nba:jerami_grant,,,pts_reb,Jerami Grant over 11.5,11.5,-125,oddstrader,True,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS
NBA,2026-04-25,Cade Cunningham,nba:cade_cunningham,,,pts_reb_ast,Cade Cunningham under 43.5,43.5,-115,oddstrader,True,NBA:2026:04:25:DET@ORL,NBA:2026:04:25:DET-ORL
NBA,2026-04-24,Bruce Brown,nba:bruce_brown,,,pts_ast,Bruce Brown over 8.5,8.5,-105,oddstrader,True,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN
NBA,2026-04-24,Bruce Brown,nba:bruce_brown,,,pts_reb,Bruce Brown over 10.5,10.5,-105,oddstrader,True,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN
NBA,2026-04-24,Anthony Edwards,nba:anthony_edwards,,,pts_reb_ast,Anthony Edwards under 39.5,39.5,-125,oddstrader,True,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN
NBA,2026-04-23,Dyson Daniels,nba:dyson_daniels,,,reb_ast,Dyson Daniels over 11.5,11.5,-105,oddstrader,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-25,Reed Sheppard,nba:reed_sheppard,,,points,Reed Sheppard over 8.5,8.5,-115,oddstrader,True,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL
NBA,2026-04-24,Anthony Edwards,nba:anthony_edwards,,,pts_reb,Anthony Edwards under 34.5,34.5,-120,oddstrader,True,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN
NBA,2026-04-25,Cade Cunningham,nba:cade_cunningham,,,pts_reb,Cade Cunningham under 33.5,33.5,-115,oddstrader,True,NBA:2026:04:25:DET@ORL,NBA:2026:04:25:DET-ORL
NBA,2026-04-25,Luke Kornet,nba:luke_kornet,,,reb_ast,Luke Kornet under 9.5,9.5,-105,oddstrader,True,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS
NBA,2026-04-24,Anthony Edwards,nba:anthony_edwards,,,pts_ast,Anthony Edwards under 33.5,33.5,-125,oddstrader,True,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN
NBA,2026-04-25,Amen Thompson,nba:amen_thompson,,,pts_ast,Amen Thompson over 22.5,22.5,-120,oddstrader,True,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL
NBA,2026-04-23,Dyson Daniels,nba:dyson_daniels,,,pts_reb_ast,Dyson Daniels over 21.5,21.5,-105,oddstrader,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-25,Amen Thompson,nba:amen_thompson,,,pts_reb_ast,Amen Thompson over 30.5,30.5,-105,oddstrader,True,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL
NBA,2026-04-25,Amen Thompson,nba:amen_thompson,,,pts_reb,Amen Thompson over 24.5,24.5,-115,oddstrader,True,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL
NBA,2026-04-23,Josh Hart,nba:josh_hart,,,reb_ast,Josh Hart under 13.5,13.5,-110,oddstrader,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-24,Anthony Edwards,nba:anthony_edwards,,,points,Anthony Edwards under 28.5,28.5,-120,oddstrader,True,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN
NBA,2026-04-24,Nikola Jokic,nba:nikola_jokic,,,pts_reb_ast,Nikola Jokic under 53.5,53.5,-115,oddstrader,True,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN
NBA,2026-04-24,Nikola Jokic,nba:nikola_jokic,,,pts_reb,Nikola Jokic under 43.5,43.5,-115,oddstrader,True,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN
NBA,2026-04-24,Anthony Edwards,nba:anthony_edwards,,,reb_ast,Anthony Edwards under 10.5,10.5,-120,oddstrader,True,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN
NBA,2026-04-25,Deni Avdija,nba:deni_avdija,,,pts_ast,Deni Avdija over 30.5,30.5,-105,oddstrader,True,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS
NBA,2026-04-23,Karl-Anthony Towns,nba:karl_anthony_towns,,,pts_ast,Karl-Anthony Towns over 22.5,22.5,-105,oddstrader,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
NBA,2026-04-24,Derrick White,nba:derrick_white,,,rebounds,Derrick White under 3.5,3.5,150,oddstrader,True,NBA:2026:04:24:BOS@PHI,NBA:2026:04:24:BOS-PHI
NBA,2026-04-25,Deni Avdija,nba:deni_avdija,,,pts_reb_ast,Deni Avdija over 37.5,37.5,-110,oddstrader,True,NBA:2026:04:25:SAS@POR,NBA:2026:04:25:POR-SAS
NBA,2026-04-25,Reed Sheppard,nba:reed_sheppard,,,reb_ast,Reed Sheppard over 4.5,4.5,-150,oddstrader,True,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL
NBA,2026-04-23,Mitchell Robinson,nba:mitchell_robinson,,,pts_reb_ast,Mitchell Robinson over 12.5,12.5,-120,oddstrader,True,NBA:2026:04:23:NYK@ATL,NBA:2026:04:23:ATL-NYK
