sport,date,source,event_key,matchup_key,game,market_type,selection,line,odds,player_name,player_key,stat_type,eligible_for_consensus,reason_if_ineligible
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Donte DiVincenzo under 17.5,17.5,-110,Donte DiVincenzo,nba:donte_divincenzo,pts_reb_ast,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL,LAL @ HOU,player_prop,Kevin Durant over 9.5,9.5,-145,Kevin Durant,nba:kevin_durant,reb_ast,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:BOS@PHI,NBA:2026:04:24:BOS-PHI,BOS @ PHI,player_prop,Derrick White under 18.5,18.5,-115,Derrick White,nba:derrick_white,pts_reb,True,
NBA,2026-04-25,oddstrader,NBA:2026:04:25:LAL@HOU,NBA:2026:04:25:HOU-LAL,LAL @ HOU,player_prop,Amen Thompson over 17.5,17.5,-110,Amen Thompson,nba:amen_thompson,points,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:BOS@PHI,NBA:2026:04:24:BOS-PHI,BOS @ PHI,player_prop,Andre Drummond over 14.5,14.5,-115,Andre Drummond,nba:andre_drummond,pts_reb,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:CLE@TOR,NBA:2026:04:24:CLE-TOR,CLE @ TOR,player_prop,Evan Mobley under 1.5,1.5,-120,Evan Mobley,nba:evan_mobley,blocks,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Donte DiVincenzo under 14.5,14.5,-125,Donte DiVincenzo,nba:donte_divincenzo,pts_ast,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Donte DiVincenzo under 6.5,6.5,105,Donte DiVincenzo,nba:donte_divincenzo,reb_ast,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Jaden McDaniels under 1.5,1.5,-160,Jaden McDaniels,nba:jaden_mcdaniels,threes,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Naz Reid under 1.5,1.5,100,Naz Reid,nba:naz_reid,threes,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:CLE@TOR,NBA:2026:04:24:CLE-TOR,CLE @ TOR,player_prop,Ja'Kobe Walter over 11.5,11.5,-120,Ja'Kobe Walter,nba:ja_kobe_walter,pts_reb_ast,True,
NBA,2026-04-24,oddstrader,NBA:2026:04:24:DEN@MIN,NBA:2026:04:24:DEN-MIN,DEN @ MIN,player_prop,Nikola Jokic under 29.5,29.5,-120,Nikola Jokic,nba:nikola_jokic,points,True,
