atomic_stat,avg_odds,bets_with_units,direction,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
,-108.0,5,LAL,1,spread,6,2.8019999999999996,5,-540.0,0,unrated,0.5398843930635837,oddstrader,5.19,1,0.4365,0.8333333333333334,5
,-106.0,6,MEM,4,spread,6,-2.174,6,-636.0,0,unrated,-0.3517799352750809,oddstrader,6.18,0,0.0968,0.3333333333333333,2
,-109.5,6,SAC,2,spread,6,-1.6080000000000005,6,-657.0,0,unrated,-0.16697819314641746,oddstrader,9.630000000000003,0,0.3,0.6666666666666666,4
,-169.83333333333334,6,CHI,4,moneyline,6,-3.456,6,-1019.0,0,unrated,-0.4632707774798927,sportsline,7.460000000000001,0,0.0968,0.3333333333333333,2
,-77.16666666666667,6,NOP,3,moneyline,6,-0.2749999999999999,6,-463.0,0,unrated,-0.043720190779014304,sportsline,6.289999999999999,0,0.1876,0.5,3
,-113.33333333333333,6,SAS,3,moneyline,6,-1.0539999999999998,6,-680.0,0,unrated,-0.14950354609929076,sportsline,7.05,0,0.1876,0.5,3
,-52.5,6,UTA,2,moneyline,6,1.5560000000000003,6,-315.0,0,unrated,0.2416149068322982,sportsline,6.4399999999999995,0,0.3,0.6666666666666666,4
,-92.0,6,OVER,3,player_prop,6,-0.629,6,-552.0,0,unrated,-0.09472891566265063,sportsline,6.639999999999999,0,0.1876,0.5,3
,-110.5,6,WAS,4,spread,6,-2.295,6,-663.0,0,unrated,-0.3642857142857142,sportsline,6.300000000000001,0,0.0968,0.3333333333333333,2
,-108.33333333333333,6,OVER,4,team_total,6,-2.232,6,-650.0,0,unrated,-0.35769230769230764,sportsline,6.240000000000001,0,0.0968,0.3333333333333333,2
blocks,,2,PLAYER_OVER,2,player_prop,5,-2.0,0,0.0,0,unrated,-1.0,action,2.0,3,0.2307,0.6,3
threes,35.333333333333336,5,UNDER,4,player_prop,5,-2.9779999999999998,3,106.0,0,unrated,-0.5991951710261568,action,4.970000000000001,0,0.0362,0.2,1
,,3,DEN,3,spread,5,-3.0,0,0.0,0,3_star,-1.0,betql,3.0,2,0.1176,0.4,2
,,3,DET,3,spread,5,-3.0,0,0.0,0,3_star,-1.0,betql,3.0,2,0.1176,0.4,2
,,3,IND,3,spread,5,-3.0,0,0.0,0,5_star,-1.0,betql,3.0,2,0.1176,0.4,2
,,1,LAL,1,spread,5,-1.0,0,0.0,0,5_star,-1.0,betql,1.0,4,0.3755,0.8,4
,,5,ATL,5,spread,5,-5.0,0,0.0,0,unrated,-1.0,betql,5.0,0,-0.0,0.0,0
,,3,DEN,3,spread,5,-3.0,0,0.0,0,unrated,-1.0,betql,3.0,2,0.1176,0.4,2
,472.5,5,BKN,5,moneyline,5,-2.94,4,1890.0,0,unrated,-1.0,bettingpros_experts,2.94,0,-0.0,0.0,0
,-119.8,5,LAD,2,moneyline,5,0.05300000000000016,5,-599.0,0,unrated,0.008922558922558948,bettingpros_experts,5.94,0,0.2307,0.6,3
,-148.6,5,NOR,1,moneyline,5,1.8640000000000003,5,-743.0,0,unrated,0.3040783034257749,bettingpros_experts,6.13,0,0.3755,0.8,4
rebounds,95.6,5,OVER,2,player_prop,5,1.6359999999999997,5,478.0,0,5_star,0.37609195402298845,covers,4.35,0,0.2307,0.6,3
,156.4,5,CHA,1,moneyline,5,3.936,5,782.0,0,unrated,0.9132250580046403,dimers,4.3100000000000005,0,0.3755,0.8,4
,-61.8,5,TEAM,5,spread,5,-5.05,5,-309.0,0,unrated,-1.0,dimers,5.05,0,-0.0,0.0,0
threes,31.8,5,OVER,4,player_prop,5,-3.05,5,159.0,0,unrated,-0.7176470588235294,juicereel_nukethebooks,4.25,0,0.0362,0.2,1
threes,46.333333333333336,3,OVER,3,player_prop,5,-5.43,3,139.0,0,unrated,-1.0,juicereel_sxebets,5.43,2,0.1176,0.4,2
,-108.4,5,CHI,2,spread,5,2.848,5,-542.0,0,unrated,0.3817694369973191,oddstrader,7.459999999999999,0,0.2307,0.6,3
,-111.66666666666667,4,PHX,2,spread,5,-3.5150000000000006,3,-335.0,0,unrated,-0.4674202127659575,oddstrader,7.5200000000000005,1,0.2307,0.6,3
,-147.2,5,BKN,2,moneyline,5,0.08700000000000008,5,-736.0,0,unrated,0.014695945945945959,sportsline,5.92,0,0.2307,0.6,3
