atomic_stat,avg_odds,bets_with_units,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
,-167.0,1,TheDevil,0,total,1,0.749,1,-167.0,0,0.5992,bettingpros_experts,1.25,0,0.2065,1.0,1
,225.0,1,TheDirtyDs2988,1,moneyline,1,-0.62,1,225.0,0,-1.0,bettingpros_experts,0.62,0,0.0,0.0,0
rebounds,,1,TheDirtyDs2988,1,player_prop,1,-1.0,0,0.0,0,-1.0,bettingpros_experts,1.0,0,0.0,0.0,0
,-120.0,1,TheDirtyDs2988,0,total,1,0.908,1,-120.0,0,0.8330275229357798,bettingpros_experts,1.09,0,0.2065,1.0,1
rebounds,-115.0,1,Tim J,1,player_prop,1,-1.07,1,-115.0,0,-1.0,bettingpros_experts,1.07,0,0.0,0.0,0
,-130.0,1,Tim J,0,total,1,0.869,1,-130.0,0,0.7690265486725665,bettingpros_experts,1.13,0,0.2065,1.0,1
pts_reb_ast,-114.0,1,Top Shelf Action 🥃,0,player_prop,1,0.939,1,-114.0,0,0.8775700934579438,action,1.07,0,0.2065,1.0,1
pts_ast,106.0,1,TyRo24,0,player_prop,1,1.028,1,106.0,0,1.0597938144329897,bettingpros_experts,0.97,0,0.2065,1.0,1
pts_reb,-113.0,1,TyRo24,1,player_prop,1,-1.06,1,-113.0,0,-1.0,bettingpros_experts,1.06,0,0.0,0.0,0
pts_reb_ast,-116.0,1,TyRo24,1,player_prop,1,-1.07,1,-116.0,0,-1.0,bettingpros_experts,1.07,0,0.0,0.0,0
reb_ast,-108.0,1,TyRo24,1,player_prop,1,-1.04,1,-108.0,0,-1.0,bettingpros_experts,1.04,0,0.0,0.0,0
assists,-119.0,1,Zack Cimini,1,player_prop,1,-1.09,1,-119.0,0,-1.0,sportsline,1.09,0,0.0,0.0,0
rebounds,-102.0,1,Zack Cimini,1,player_prop,1,-1.01,1,-102.0,0,-1.0,sportsline,1.01,0,0.0,0.0,0
,-125.0,1,allcylinderscars,1,moneyline,1,-1.11,1,-125.0,0,-1.0,bettingpros_experts,1.11,0,0.0,0.0,0
reb_ast,-140.0,1,allcylinderscars,1,player_prop,1,-1.17,1,-140.0,0,-1.0,bettingpros_experts,1.17,0,0.0,0.0,0
,310.0,1,allcylinderscars,1,spread,1,-0.49,1,310.0,0,-1.0,bettingpros_experts,0.49,0,0.0,0.0,0
,-400.0,1,andrecruzeta,0,moneyline,1,0.4,1,-400.0,0,0.25,bettingpros_experts,1.6,0,0.2065,1.0,1
,-400.0,1,andrewanto1296,0,moneyline,1,0.4,1,-400.0,0,0.25,bettingpros_experts,1.6,0,0.2065,1.0,1
threes,150.0,1,andrewanto1296,1,player_prop,1,-0.8,1,150.0,0,-1.0,bettingpros_experts,0.8,0,0.0,0.0,0
assists,-119.0,1,bettor70653,0,player_prop,1,0.916,1,-119.0,0,0.8403669724770642,bettingpros_experts,1.09,0,0.2065,1.0,1
threes,-109.0,1,bettor70653,0,player_prop,1,0.954,1,-109.0,0,0.9173076923076923,bettingpros_experts,1.04,0,0.2065,1.0,1
,-115.0,1,bettor73662,1,total,1,-1.07,1,-115.0,0,-1.0,bettingpros_experts,1.07,0,0.0,0.0,0
,-110.0,1,bettor73790,0,spread,1,0.955,1,-110.0,0,0.9095238095238094,bettingpros_experts,1.05,0,0.2065,1.0,1
,101.0,1,bobwickoren,0,team_total,1,1.01,1,101.0,0,1.01,bettingpros_experts,1.0,0,0.2065,1.0,1
reb_ast,108.0,1,chefpadro74,1,player_prop,1,-0.96,1,108.0,0,-1.0,bettingpros_experts,0.96,0,0.0,0.0,0
,-524.0,1,chefpadro74,0,spread,1,0.321,1,-524.0,0,0.1910714285714286,bettingpros_experts,1.68,0,0.2065,1.0,1
assists,-163.0,1,colin.vuong,1,player_prop,1,-1.24,1,-163.0,0,-1.0,bettingpros_experts,1.24,0,0.0,0.0,0
threes,164.0,1,colin.vuong,0,player_prop,1,1.246,1,164.0,0,1.6394736842105262,bettingpros_experts,0.76,0,0.2065,1.0,1
,-130.0,1,colin.vuong,0,spread,1,0.869,1,-130.0,0,0.7690265486725665,bettingpros_experts,1.13,0,0.2065,1.0,1
pts_ast,-112.0,1,craig.r.trujillo,0,player_prop,1,0.946,1,-112.0,0,0.8924528301886792,bettingpros_experts,1.06,0,0.2065,1.0,1
assists,-130.0,1,dylanmccaffrey,0,player_prop,1,0.869,1,-130.0,0,0.7690265486725665,bettingpros_experts,1.13,0,0.2065,1.0,1
pts_reb,-120.0,1,dylanmccaffrey,0,player_prop,1,0.908,1,-120.0,0,0.8330275229357798,bettingpros_experts,1.09,0,0.2065,1.0,1
threes,-1600.0,1,dylanmccaffrey,0,player_prop,1,0.117,1,-1600.0,0,0.062234042553191496,bettingpros_experts,1.88,0,0.2065,1.0,1
assists,-109.0,1,jacobparchert,0,player_prop,1,0.954,1,-109.0,0,0.9173076923076923,bettingpros_experts,1.04,0,0.2065,1.0,1
reb_ast,-111.0,1,jacobparchert,1,player_prop,1,-1.05,1,-111.0,0,-1.0,bettingpros_experts,1.05,0,0.0,0.0,0
rebounds,,1,jacobparchert,1,player_prop,1,-1.0,0,0.0,0,-1.0,bettingpros_experts,1.0,0,0.0,0.0,0
,-122.0,1,jaredconnor,1,moneyline,1,-1.1,1,-122.0,0,-1.0,bettingpros_experts,1.1,0,0.0,0.0,0
,-128.0,1,jaredconnor,0,total,1,0.875,1,-128.0,0,0.7812499999999999,bettingpros_experts,1.12,0,0.2065,1.0,1
reb_ast,-136.0,1,jjead76,0,player_prop,1,0.846,1,-136.0,0,0.7356521739130435,bettingpros_experts,1.15,0,0.2065,1.0,1
threes,154.0,1,jjead76,1,player_prop,1,-0.79,1,154.0,0,-1.0,bettingpros_experts,0.79,0,0.0,0.0,0
blocks,,1,johnmorrow,1,player_prop,1,-1.0,0,0.0,0,-1.0,bettingpros_experts,1.0,0,0.0,0.0,0
pts_reb_ast,-109.0,1,johnmorrow,0,player_prop,1,0.954,1,-109.0,0,0.9173076923076923,bettingpros_experts,1.04,0,0.2065,1.0,1
steals,,0,johnmorrow,0,player_prop,1,0.0,0,0.0,0,,bettingpros_experts,0.0,1,0.2065,1.0,1
pts_ast,-172.0,1,max_sigler,1,player_prop,1,-1.26,1,-172.0,0,-1.0,bettingpros_experts,1.26,0,0.0,0.0,0
pts_reb_ast,-178.0,1,max_sigler,1,player_prop,1,-1.28,1,-178.0,0,-1.0,bettingpros_experts,1.28,0,0.0,0.0,0
reb_ast,125.0,1,max_sigler,1,player_prop,1,-0.89,1,125.0,0,-1.0,bettingpros_experts,0.89,0,0.0,0.0,0
rebounds,-136.0,1,max_sigler,0,player_prop,1,0.846,1,-136.0,0,0.7356521739130435,bettingpros_experts,1.15,0,0.2065,1.0,1
threes,125.0,1,mullinsjeff76,0,player_prop,1,1.113,1,125.0,0,1.250561797752809,bettingpros_experts,0.89,0,0.2065,1.0,1
blocks,800.0,1,nomadicmitch,1,player_prop,1,-0.25,1,800.0,0,-1.0,bettingpros_experts,0.25,0,0.0,0.0,0
,-105.0,1,nukethebooks,1,total,1,-0.9,1,-105.0,0,-1.0,bettingpros,0.9,0,0.0,0.0,0
,145.0,1,nukethebooks,0,moneyline,1,1.45,1,145.0,0,1.45,juicereel_nukethebooks,1.0,0,0.2065,1.0,1
reb_ast,-140.0,1,nukethebooks,0,player_prop,1,0.5,1,-140.0,0,0.7142857142857143,juicereel_nukethebooks,0.7,0,0.2065,1.0,1
,-168.0,1,parkerpaduck,0,moneyline,1,0.744,1,-168.0,0,0.5952,bettingpros_experts,1.25,0,0.2065,1.0,1
points,-124.0,1,primetime897,0,player_prop,1,0.895,1,-124.0,0,0.8063063063063063,bettingpros_experts,1.11,0,0.2065,1.0,1
,-118.0,1,raomichm,0,spread,1,0.915,1,-118.0,0,0.8472222222222222,bettingpros_experts,1.08,0,0.2065,1.0,1
pts_reb_ast,-124.0,1,rose0086,1,player_prop,1,-1.11,1,-124.0,0,-1.0,bettingpros_experts,1.11,0,0.0,0.0,0
blocks,-270.0,1,severianosmith,0,player_prop,1,0.541,1,-270.0,0,0.3705479452054795,bettingpros_experts,1.46,0,0.2065,1.0,1
pts_reb_ast,-109.0,1,shefdog33,1,player_prop,1,-1.04,1,-109.0,0,-1.0,bettingpros_experts,1.04,0,0.0,0.0,0
rebounds,-130.0,1,shefdog33,0,player_prop,1,0.869,1,-130.0,0,0.7690265486725665,bettingpros_experts,1.13,0,0.2065,1.0,1
,,0,spicer2308,0,spread,1,0.0,0,0.0,0,,bettingpros_experts,0.0,1,0.2065,1.0,1
,-118.0,1,spicer2308,1,total,1,-1.08,1,-118.0,0,-1.0,bettingpros_experts,1.08,0,0.0,0.0,0
assists,-580.0,1,xwq9tqbk8d,0,player_prop,1,0.295,1,-580.0,0,0.17251461988304093,bettingpros_experts,1.71,0,0.2065,1.0,1
pts_reb,-413.0,1,xwq9tqbk8d,0,player_prop,1,0.39,1,-413.0,0,0.24223602484472048,bettingpros_experts,1.61,0,0.2065,1.0,1
rebounds,-1067.0,1,xwq9tqbk8d,1,player_prop,1,-1.83,1,-1067.0,0,-1.0,bettingpros_experts,1.83,0,0.0,0.0,0
