atomic_stat,avg_odds,bets_with_units,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
points,100.72727272727273,22,Brandon Kravitz,15,player_prop,37,-6.546999999999999,11,1108.0,0,-0.318588807785888,action,20.55,15,0.4349,0.5945945945945946,22
assists,-50.3,20,Joe Dellera,13,player_prop,37,-6.425,10,-503.0,0,-0.3144884973078806,action,20.43,17,0.4876,0.6486486486486487,24
assists,24.153846153846153,27,Top Shelf Action 🥃,20,player_prop,37,-12.904999999999998,13,314.0,0,-0.4797397769516728,action,26.9,10,0.3104,0.4594594594594595,17
pts_ast,-113.83333333333333,17,Markus Markets,13,player_prop,36,-9.384,6,-683.0,0,-0.5396204715353652,action,17.39,19,0.4757,0.6388888888888888,23
pts_reb,-112.75,23,Markus Markets,19,player_prop,36,-15.233000000000002,4,-451.0,0,-0.6554647160068847,action,23.240000000000002,13,0.3199,0.4722222222222222,17
pts_ast,-117.5,17,The Propfessor,16,player_prop,36,-15.16,2,-235.0,0,-0.8834498834498834,action,17.16,19,0.3958,0.5555555555555556,20
pts_reb,100.0,16,Jim Turvey,15,player_prop,34,-14.0,1,100.0,0,-0.875,action,16.0,18,0.3945,0.5588235294117647,19
points,-82.71428571428571,24,Alex Hinton,20,player_prop,33,-16.367,7,-579.0,0,-0.671604431678293,action,24.37,9,0.2468,0.3939393939393939,13
rebounds,-4.125,21,Markus Markets,15,player_prop,33,-8.017,8,-33.0,0,-0.3792336802270577,action,21.139999999999997,12,0.3799,0.5454545454545454,18
pts_reb,-69.4,16,Top Shelf Action 🥃,12,player_prop,33,-8.207,5,-347.0,0,-0.5059802712700371,action,16.22,17,0.4662,0.6363636363636364,21
pts_reb_ast,-116.5,14,Joe Dellera,12,player_prop,32,-10.301,4,-466.0,0,-0.7208537438768369,action,14.290000000000001,18,0.4525,0.625,20
points,-113.0,19,Prop Bomb 🏝,16,player_prop,32,-11.301,5,-565.0,0,-0.5855440414507772,action,19.3,13,0.3363,0.5,16
reb_ast,60.6,26,Top Shelf Action 🥃,18,player_prop,32,-9.959,15,909.0,0,-0.38348093954562956,action,25.97,6,0.2817,0.4375,14
pts_reb_ast,-111.0,18,Buckets Podcast,16,player_prop,31,-14.317000000000004,6,-666.0,0,-0.7814956331877732,action,18.32,13,0.3197,0.4838709677419355,15
points,-79.22727272727273,29,Jon Metler,18,player_prop,31,-7.661,22,-1743.0,0,-0.2583811129848229,covers,29.650000000000002,2,0.2642,0.41935483870967744,13
,-108.85185185185185,27,OddsTrader AI,19,total,31,-10.139,27,-2939.0,0,-0.35992190273340424,oddstrader,28.170000000000005,4,0.2373,0.3870967741935484,12
pts_reb_ast,-117.0,17,Markus Markets,12,player_prop,30,-7.462000000000001,6,-702.0,0,-0.42737686139748,action,17.46,13,0.4232,0.6,18
pts_reb_ast,-121.0,13,Bryan Fonseca,11,player_prop,29,-9.19,2,-242.0,0,-0.6967399545109931,action,13.19,16,0.44,0.6206896551724138,18
rebounds,-40.36363636363637,23,Jim Turvey,19,player_prop,29,-14.599000000000002,11,-444.0,0,-0.6186016949152543,action,23.6,6,0.1994,0.3448275862068966,10
rebounds,-7.75,18,Kyle Murray,13,player_prop,29,-8.270000000000001,8,-62.0,0,-0.4531506849315069,action,18.25,11,0.3755,0.5517241379310345,16
pts_reb_ast,52.0,15,Top Shelf Action 🥃,12,player_prop,29,-8.962,4,208.0,0,-0.5990641711229946,action,14.96,14,0.4074,0.5862068965517241,17
