atomic_stat,avg_odds,bets_with_units,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
rebounds,5.410256410256411,39,severianosmith,17,player_prop,40,3.7510000000000003,39,211.0,2,0.09768229166666668,bettingpros_experts,38.4,1,0.3971,0.5526315789473685,21
points,100.72727272727273,22,Brandon Kravitz,15,player_prop,37,-6.546999999999999,11,1108.0,0,-0.318588807785888,action,20.55,15,0.4349,0.5945945945945946,22
assists,-50.3,20,Joe Dellera,13,player_prop,37,-6.425,10,-503.0,0,-0.3144884973078806,action,20.43,17,0.4876,0.6486486486486487,24
rebounds,-76.47222222222223,37,Larry Hartstein,21,player_prop,37,-8.131000000000002,36,-2753.0,0,-0.202566018933732,sportsline,40.14,0,0.2867,0.43243243243243246,16
pts_ast,-116.85714285714286,18,Markus Markets,14,player_prop,37,-10.534,7,-818.0,0,-0.5681769147788565,action,18.540000000000003,19,0.461,0.6216216216216216,23
assists,24.153846153846153,27,Top Shelf Action 🥃,20,player_prop,37,-12.904999999999998,13,314.0,0,-0.4797397769516728,action,26.9,10,0.3104,0.4594594594594595,17
pts_reb,-112.75,23,Markus Markets,19,player_prop,36,-15.233000000000002,4,-451.0,0,-0.6554647160068847,action,23.240000000000002,13,0.3199,0.4722222222222222,17
pts_ast,-117.5,17,The Propfessor,16,player_prop,36,-15.16,2,-235.0,0,-0.8834498834498834,action,17.16,19,0.3958,0.5555555555555556,20
threes,69.41666666666667,36,severianosmith,21,player_prop,36,-2.5760000000000005,36,2499.0,0,-0.0790669122160835,bettingpros_experts,32.58,0,0.2714,0.4166666666666667,15
pts_reb,101.5,17,Jim Turvey,16,player_prop,35,-14.99,2,203.0,0,-0.8822836962919364,action,16.990000000000002,18,0.3819,0.5428571428571428,19
points,-85.5,25,Alex Hinton,20,player_prop,34,-15.395999999999999,8,-684.0,0,-0.6063804647499015,action,25.39,9,0.2637,0.4117647058823529,14
rebounds,-361.05882352941177,34,parkerpaduck,10,player_prop,34,-2.7060000000000004,34,-12276.0,0,-0.053341218214074504,bettingpros_experts,50.73000000000002,0,0.5383,0.7058823529411765,24
rebounds,-4.125,21,Markus Markets,15,player_prop,33,-8.017,8,-33.0,0,-0.3792336802270577,action,21.139999999999997,12,0.3799,0.5454545454545454,18
