atomic_stat,avg_odds,bets_with_units,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
steals,-129.0909090909091,11,5,player_prop,11,-0.8570000000000003,11,-1420.0,0,unrated,-0.06669260700389107,oddstrader,12.850000000000001,0,0.2801,0.5454545454545454,6
threes,59.75,9,6,player_prop,10,-2.825,4,239.0,0,4_star,-0.32029478458049887,betql,8.82,1,0.1682,0.4,4
,-85.14285714285714,8,3,spread,10,5.87,7,-596.0,0,unrated,0.858187134502924,covers,6.84,2,0.3968,0.7,7
points,-37.666666666666664,9,7,player_prop,10,-6.058,3,-113.0,1,unrated,-0.668653421633554,bettingpros_experts,9.06,1,0.0632,0.2222222222222222,2
pts_ast,-114.85714285714286,9,5,player_prop,9,-1.4720000000000004,7,-804.0,0,unrated,-0.15527426160337557,juicereel_sxebets,9.48,0,0.1888,0.4444444444444444,4
,-109.0,5,4,spread,8,-3.0460000000000003,1,-109.0,0,unrated,-0.6043650793650794,bettingpros_experts,5.04,3,0.2152,0.5,4
threes,141.0,7,7,player_prop,7,-5.69,2,282.0,0,5_star,-0.8505231689088192,betql,6.69,0,0.0,0.0,0
threes,,4,4,player_prop,7,-4.0,0,0.0,0,unrated,-1.0,bettingpros_experts,4.0,3,0.1582,0.42857142857142855,3
pts_reb,-73.83333333333333,6,3,player_prop,6,-0.20700000000000007,6,-443.0,0,unrated,-0.03327974276527332,bettingpros_experts,6.220000000000001,0,0.1876,0.5,3
rebounds,2.5,3,2,player_prop,6,-0.985,2,5.0,0,unrated,-0.32943143812709025,bettingpros_experts,2.99,3,0.3,0.6666666666666666,4
,-110.0,5,4,total,6,-3.245,5,-550.0,0,unrated,-0.6180952380952381,covers,5.25,1,0.0968,0.3333333333333333,2
reb_ast,-6.75,4,1,player_prop,6,1.894,4,-27.0,0,unrated,0.46195121951219503,juicereel_sxebets,4.1000000000000005,2,0.4365,0.8333333333333334,5
blocks,-105.0,6,1,player_prop,6,3.1460000000000004,6,-630.0,0,unrated,0.45793304221251824,oddstrader,6.87,0,0.4365,0.8333333333333334,5
pts_ast,-116.2,6,4,player_prop,6,-2.3790000000000004,5,-581.0,0,unrated,-0.37288401253918496,sportsline,6.380000000000001,0,0.0968,0.3333333333333333,2
