atomic_stat,avg_odds,bets_with_units,direction,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
,-16.0,8,BOS,BetQL Model,7,spread,16,-5.25,1,-16.0,0,-0.7211538461538461,betql,7.28,8,0.3318,0.5625,9
,,12,CLE,BetQL Model,10,spread,17,-11.0,0,0.0,1,-0.9166666666666666,betql,12.0,5,0.1848,0.375,6
,,7,DET,BetQL Model,7,spread,16,-7.0,0,0.0,0,-1.0,betql,7.0,9,0.3318,0.5625,9
,,13,SAC,BetQL Model,13,spread,16,-13.0,0,0.0,0,-1.0,betql,13.0,3,0.0659,0.1875,3
,,8,TOR,BetQL Model,8,spread,16,-8.0,0,0.0,0,-1.0,betql,8.0,8,0.28,0.5,8
assists,-118.75,9,OVER,Bryan Fonseca,7,player_prop,16,-5.309,4,-475.0,0,-0.5702470461868958,action,9.31,7,0.3318,0.5625,9
assists,-79.4,8,PLAYER_UNDER,Jim Turvey,6,player_prop,16,-4.415,5,-397.0,0,-0.5243467933491687,action,8.42,8,0.3864,0.625,10
pts_reb,-1875195.6875,16,OVER,KD850,5,player_prop,16,2.886,16,-30003131.0,0,0.14098680996580362,bettingpros_experts,20.47,0,0.444,0.6875,11
pts_reb_ast,-120.0,8,PLAYER_OVER,Markus Markets,7,player_prop,16,-6.0920000000000005,1,-120.0,0,-0.7530284301606923,action,8.09,8,0.3318,0.5625,9
pts_reb,-120.0,10,OVER,Matt DiLeo,10,player_prop,16,-10.09,1,-120.0,0,-1.0,action,10.09,6,0.1848,0.375,6
pts_reb,,8,PLAYER_OVER,Ryan Minion,7,player_prop,17,-7.0,0,0.0,1,-0.875,action,8.0,9,0.3318,0.5625,9
reb_ast,-115.0,9,PLAYER_OVER,The Propfessor,8,player_prop,16,-7.142,2,-230.0,0,-0.7814004376367615,action,9.14,7,0.28,0.5,8
reb_ast,50.625,14,PLAYER_UNDER,Top Shelf Action 🥃,9,player_prop,16,-3.9740000000000006,8,405.0,0,-0.28406004288777703,action,13.99,2,0.231,0.4375,7
pts_reb_ast,-62.125,16,OVER,gordyscott88,7,player_prop,16,0.2149999999999992,16,-994.0,0,0.012099043331457464,bettingpros_experts,17.770000000000003,0,0.3318,0.5625,9
rebounds,6.294117647058823,17,OVER,gordyscott88,6,player_prop,17,4.024000000000001,17,107.0,1,0.23601173020527863,bettingpros_experts,17.05,0,0.3864,0.625,10
points,-87.47058823529412,17,OVER,jjead76,3,player_prop,17,8.695,17,-1487.0,1,0.47281131049483416,bettingpros_experts,18.39,0,0.5699,0.8125,13
pts_reb_ast,-117.0,12,UNDER,sXeBets,6,player_prop,16,0.7349999999999999,8,-936.0,0,0.051651440618411794,juicereel_sxebets,14.23,4,0.3864,0.625,10
assists,-275.4,11,OVER,1979jbusy,3,player_prop,15,1.4699999999999998,10,-2754.0,0,0.10110041265474548,bettingpros_experts,14.540000000000004,4,0.5481,0.8,12
,,9,IND,BetQL Model,9,spread,15,-9.0,0,0.0,0,-1.0,betql,9.0,6,0.1982,0.4,6
pts_reb,-110.75,9,PLAYER_OVER,Bryan Fonseca,6,player_prop,15,-3.201,4,-443.0,0,-0.3479347826086956,action,9.200000000000001,6,0.3575,0.6,9
rebounds,103.0,11,PLAYER_OVER,Bryan Fonseca,11,player_prop,15,-10.96,3,309.0,0,-1.0,action,10.96,4,0.109,0.26666666666666666,4
