atomic_stat,avg_odds,bets_with_units,direction,losses,market_type,n,net_units,odds_count,odds_sum,pushes,rating_bucket,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
,-110.46153846153847,13,LAL,6,spread,13,-0.6090000000000005,13,-1436.0,1,unrated,-0.04461538461538465,sportsline,13.650000000000002,0,0.2538,0.5,6
points,-43.27272727272727,11,PLAYER_OVER,4,player_prop,11,2.8150000000000004,11,-476.0,0,unrated,0.25224014336917566,action,11.16,0,0.3538,0.6363636363636364,7
,284.6363636363636,11,IND,8,moneyline,11,-1.266,11,3131.0,0,unrated,-0.1743801652892562,bettingpros_experts,7.26,0,0.0975,0.2727272727272727,3
,-108.81818181818181,11,SAC,5,spread,11,-0.07299999999999962,11,-1197.0,0,unrated,-0.006048053024026481,bettingpros_experts,12.07,0,0.2801,0.5454545454545454,6
,458.1,11,BKN,9,moneyline,11,-1.6059999999999999,10,4581.0,0,unrated,-0.28576512455516007,dimers,5.620000000000001,0,0.0514,0.18181818181818182,2
,-71.72727272727273,11,TOR,6,moneyline,11,-1.6389999999999998,11,-789.0,0,unrated,-0.14068669527896993,dimers,11.65,0,0.2127,0.45454545454545453,5
,-157.1818181818182,11,CLE,2,moneyline,11,4.801,11,-1729.0,0,unrated,0.36398786959818047,sportsline,13.19,0,0.523,0.8181818181818182,9
,-141.63636363636363,11,SAC,6,moneyline,11,-2.827000000000001,11,-1558.0,0,unrated,-0.22051482059282376,sportsline,12.82,0,0.2127,0.45454545454545453,5
,-111.72727272727273,11,BOS,4,spread,11,2.391,11,-1229.0,0,unrated,0.20576592082616174,sportsline,11.620000000000003,0,0.3538,0.6363636363636364,7
,-111.0909090909091,11,MIL,5,spread,11,0.4209999999999995,11,-1222.0,0,unrated,0.036355785837651075,sportsline,11.580000000000002,0,0.2801,0.5454545454545454,6
,-648.9,10,CHA,1,moneyline,10,3.6060000000000008,10,-6489.0,0,unrated,0.2505906879777624,bettingpros_experts,14.389999999999999,0,0.5958,0.9,9
,-164.5,10,CHC,2,moneyline,10,3.5229999999999997,10,-1645.0,0,unrated,0.28251804330392943,bettingpros_experts,12.469999999999999,0,0.4902,0.8,8
,-15.3,10,CHI,6,moneyline,10,-1.9899999999999998,10,-153.0,0,unrated,-0.19939879759519036,bettingpros_experts,9.98,0,0.1682,0.4,4
,22.444444444444443,10,CHI,6,moneyline,10,-1.6130000000000004,9,202.0,0,unrated,-0.1676715176715177,dimers,9.620000000000001,0,0.1682,0.4,4
,-148.4,10,DET,6,moneyline,10,-3.7120000000000006,10,-1484.0,0,unrated,-0.31699402220324513,dimers,11.71,0,0.1682,0.4,4
,-150.66666666666666,10,NYK,5,moneyline,10,-1.7329999999999992,9,-1356.0,0,unrated,-0.1473639455782312,dimers,11.760000000000002,0,0.2366,0.5,5
,955.0,10,SAC,7,moneyline,10,2.7439999999999998,10,9550.0,0,unrated,0.8391437308868501,dimers,3.27,0,0.1078,0.3,3
,-105.875,8,CHA,3,spread,10,1.7819999999999998,8,-847.0,0,unrated,0.21705237515225334,dimers,8.209999999999999,2,0.3968,0.7,7
,-45.3,10,LAL,5,spread,10,-0.2509999999999998,10,-453.0,0,unrated,-0.024535679374389035,dimers,10.229999999999999,0,0.2366,0.5,5
,-64.3,10,PHI,4,spread,10,1.7879999999999998,10,-643.0,0,unrated,0.17546614327772322,dimers,10.190000000000001,0,0.3127,0.6,6
,-84.5,10,PHX,6,spread,10,-2.227,10,-845.0,0,unrated,-0.21833333333333332,dimers,10.2,0,0.1682,0.4,4
,-95.8,10,DEN,4,moneyline,10,0.6409999999999998,10,-958.0,0,unrated,0.056426056338028156,sportsline,11.36,0,0.3127,0.6,6
,-100.3,10,HOME,4,moneyline,10,0.512,10,-1003.0,0,unrated,0.044560487380330714,sportsline,11.490000000000002,0,0.3127,0.6,6
,-152.4,10,ORL,2,moneyline,10,3.986999999999999,10,-1524.0,0,unrated,0.33224999999999993,sportsline,12.0,0,0.4902,0.8,8
assists,-10.4,10,UNDER,5,player_prop,10,-0.39900000000000035,10,-104.0,0,unrated,-0.03836538461538465,sportsline,10.4,0,0.2366,0.5,5
pts_reb,-122.2,10,UNDER,4,player_prop,10,0.9979999999999999,10,-1222.0,0,unrated,0.0908098271155596,sportsline,10.989999999999998,0,0.3127,0.6,6
,-111.25,10,ATL,7,spread,10,-4.42,8,-890.0,0,unrated,-0.42377756471716205,sportsline,10.43,0,0.1078,0.3,3
,-110.5,10,BKN,5,spread,10,-0.5180000000000003,10,-1105.0,0,unrated,-0.049286393910561395,sportsline,10.510000000000002,0,0.2366,0.5,5
,-110.7,10,DEN,6,spread,10,-2.5140000000000002,10,-1107.0,0,unrated,-0.23897338403041823,sportsline,10.520000000000001,0,0.1682,0.4,4
