atomic_stat,avg_odds,bets_with_units,direction,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
,-122.265625,65,OVER,Fizzy78,33,total,65,-6.1290000000000004,64,-7825.0,0,-0.08730769230769238,bettingpros_experts,70.19999999999995,0,0.3746,0.49230769230769234,32
pts_ast,-113.57377049180327,62,OVER,Prop Bet Guy,26,player_prop,62,5.3409999999999975,61,-6928.0,0,0.08008696956065373,sportsline,66.69000000000001,0,0.4567,0.5806451612903226,36
pts_reb_ast,-282.91379310344826,60,OVER,KD850,24,player_prop,63,-1.2279999999999998,58,-16409.0,2,-0.0170413544268665,bettingpros_experts,72.05999999999999,3,0.4812,0.6065573770491803,37
reb_ast,-111.71186440677967,59,OVER,Mike Barner,23,player_prop,60,7.376999999999998,59,-6591.0,0,0.1140890813485926,sportsline,64.66000000000001,1,0.4902,0.6166666666666667,37
points,-205.43333333333334,60,OVER,craig.r.trujillo,17,player_prop,61,7.274999999999997,60,-12326.0,1,0.09299501470024285,bettingpros_experts,78.22999999999999,1,0.5923,0.7166666666666667,43
rebounds,-95.65573770491804,61,UNDER,Fizzy78,25,player_prop,61,3.355,61,-5835.0,2,0.050375375375375356,bettingpros_experts,66.60000000000002,0,0.4493,0.576271186440678,34
rebounds,-103.67241379310344,58,OVER,Mike Barner,29,player_prop,58,-6.086,58,-6013.0,0,-0.09497503121098627,sportsline,64.08,0,0.3754,0.5,29
pts_ast,-103.33333333333333,60,OVER,Fizzy78,30,player_prop,60,-7.062000000000005,60,-6200.0,3,-0.11020599250936335,bettingpros_experts,64.08000000000001,0,0.3499,0.47368421052631576,27
points,-112.125,56,OVER,Larry Hartstein,24,player_prop,57,3.177999999999999,56,-6279.0,0,0.052295540562777666,sportsline,60.77,1,0.4498,0.5789473684210527,33
points,53.09803921568628,54,OVER,Propmaster71,25,player_prop,59,7.331999999999998,51,2708.0,2,0.14999999999999997,bettingpros_experts,48.879999999999995,5,0.4328,0.5614035087719298,32
rebounds,-3.4166666666666665,50,OVER,Propmaster71,18,player_prop,57,13.922000000000002,48,-164.0,0,0.2784956991398281,bettingpros_experts,49.98999999999999,7,0.5552,0.6842105263157895,39
points,-120.375,56,UNDER,Alex Selesnick,21,player_prop,56,8.928,56,-6741.0,0,0.14619289340101518,sportsline,61.07000000000003,0,0.4941,0.625,35
,12.23076923076923,42,OVER,carmenciorra,18,total,54,9.383999999999997,39,477.0,0,0.24173106646058734,bettingpros_experts,38.819999999999986,12,0.5336,0.6666666666666666,36
pts_reb_ast,-113.49056603773585,53,UNDER,Prop Bet Guy,19,player_prop,53,10.855999999999998,53,-6015.0,0,0.18995625546806644,sportsline,57.150000000000006,0,0.5069,0.6415094339622641,34
points,1.169811320754717,53,OVER,severianosmith,27,player_prop,53,-1.722000000000003,53,62.0,1,-0.03270034181541973,bettingpros_experts,52.660000000000004,0,0.351,0.4807692307692308,25
reb_ast,-70.86538461538461,52,OVER,KD850,18,player_prop,53,9.272000000000002,52,-3685.0,2,0.16295254833040426,bettingpros_experts,56.9,1,0.5099,0.6470588235294118,33
